"SAMPLE_ID","STATION_ID","DEPTH","DATE","CELL","NGVD29","COLLECT_METHOD","MATRIX","Position","ALKALINITY, TOT, CACO3","AMMONIA-N","CALCIUM","CARBON, DISSOLVED ORGANIC","CHLORIDE","CHLOROPHYLL-A(LC)","CHLOROPHYLL-B (LC)","DEPTH, TOTAL","DISSOLVED OXYGEN","HARDNESS AS CACO3","MAGNESIUM","NITRATE+NITRITE-N","NO BOTTLE SAMPLE","PH, FIELD","PHEOPHYTIN-A(LC)","PHOSPHATE, DISSOLVED AS P","PHOSPHATE, ORTHO AS P","PHOSPHATE, TOTAL AS P","POTASSIUM","SODIUM","SP CONDUCTIVITY, FIELD","SULFATE","TEMP","TOTAL NITROGEN","TOTAL SUSPENDED SOLIDS","TURBIDITY","VOLATILE SUSPENDED SOLIDS","Name","PHOSPHATE, PARTICULATE AS P","PHOSPHATE,DISSOLVED ORGANIC AS P","NA:CL","K:CL","CA:CL","SO4:CL","MG:CL","CA+MG","NA+K","CL+SO4","BICARBONATE","Ionic Strength","Cation Total meq","Anion Total meq","Cation/Anion"
"P104305-17","L8CELL7",0.5,2019-05-22,"L8CELL7",-10.82042,"G","SW","Top",203,0.012,97,18.6,252,NA,NA,8.6,9.02,344.5,24.8,-0.005,NA,8.6,NA,0.005,0.002,0.027,8.9,188.9,1574,153,28.6,1.44,10,NA,NA,"L8CELL7",0.022,0.003,0.749603174603175,0.0353174603174603,0.384920634920635,0.607142857142857,0.0984126984126984,121.8,197.8,405,405.999996105747,23.2165,15.3258920336197,14.3524893733166,1.068
"P104305-18","L8CELL7",4.3,2019-05-22,"L8CELL7",-23.287612,"G","SW","Mid",208,0.015,102.7,18.3,258,NA,NA,8.6,4.05,365.4,26.4,-0.005,NA,8.2,NA,0.005,0.002,0.031,9.3,191.8,1629,157,27.6,1.51,9,NA,NA,"L8CELL7",0.026,0.003,0.743410852713178,0.036046511627907,0.398062015503876,0.608527131782946,0.102325581395349,129.1,201.1,415,415.99999842905,24.02775,15.8785000173515,14.7049831401071,1.08
"P104305-19","L8CELL7",8.1,2019-05-22,"L8CELL7",-35.754804,"G","SW","Bottom",230,0.691,99,19.4,290,NA,NA,8.6,0.1,350.5,25.1,-0.005,NA,7.5,NA,0.013,0.005,0.055,9,191.6,1940,162,25.8,2.18,7,NA,NA,"L8CELL7",0.042,0.008,0.660689655172414,0.0310344827586207,0.341379310344828,0.558620689655172,0.086551724137931,124.1,200.6,452,459.999999684331,28.615,15.6080193210522,16.1515886443911,0.966
"P104305-2","L8CELL12",0.5,2019-05-22,"L8CELL12",-10.82042,"G","SW","Top",204,0.015,94.2,18.1,260,NA,NA,9.1,8.93,332.6,23.6,-0.005,NA,8.6,NA,0.006,0.002,0.028,8.6,176.3,1505,154,28.7,1.5,10,NA,NA,"L8CELL12",0.022,0.004,0.678076923076923,0.0330769230769231,0.362307692307692,0.592307692307692,0.0907692307692308,117.8,184.9,414,407.999996105747,22.19875,14.5318521260921,14.6189716548351,0.994
"P104305-20","L8FEBIN",0.5,2019-05-22,"L8FEBIN",-10.82042,"G","SW","Top",209,0.014,101.1,18.4,264,NA,NA,4.1,8.77,356.4,25.2,-0.005,NA,8.5,NA,0.005,0.002,0.03,9,196.8,1633,164,28.1,1.49,10,NA,NA,"L8FEBIN",0.025,0.003,0.745454545454545,0.0340909090909091,0.382954545454545,0.621212121212121,0.0954545454545455,126.3,205.8,428,417.999996892748,24.08675,15.9097021475171,15.0399698560015,1.058
"P104305-21","L8FEBOUT",0.5,2019-05-22,"L8FEBOUT",-10.82042,"G","SW","Top",202,-0.005,94,18.2,241,NA,NA,10.3,8.44,332,23.6,-0.005,NA,8.6,NA,0.005,0.002,0.035,8.8,176,1486,144,28.5,1.49,10,NA,NA,"L8FEBOUT",0.03,0.003,0.730290456431535,0.0365145228215768,0.390041493775934,0.597510373443983,0.0979253112033195,117.6,184.8,385,403.999996105747,21.9185,14.5128287473465,13.8348182926019,1.049
"P104305-24","L8FEBOUT",0.5,2019-05-22,"L8FEBOUT",-10.82042,"G","SW","Top",202,0.011,89.9,18.1,233,NA,NA,10.3,8.51,318.9,22.9,-0.005,NA,8.6,NA,0.005,0.002,0.029,8.6,168.8,1488,140,28.4,1.52,11,NA,NA,"L8FEBOUT",0.024,0.003,0.724463519313305,0.0369098712446352,0.385836909871245,0.600858369098712,0.0982832618025751,112.8,177.4,373,403.999996105747,21.948,13.933227070897,13.5258670523833,1.03
"P104305-25","L8FEBOUT",0.5,2019-05-22,"L8FEBOUT",-10.82042,"G","SW","Top",202,0.014,91.7,17.9,203,NA,NA,10.3,8.56,323.9,23.1,-0.005,NA,8.6,NA,0.005,0.002,0.029,8.5,171.6,1489,118,28.4,1.53,11,NA,NA,"L8FEBOUT",0.024,0.003,0.845320197044335,0.041871921182266,0.451724137931034,0.58128078817734,0.113793103448276,114.8,180.1,321,403.999996105747,21.96275,14.1589077072152,12.2215576571329,1.159
"P104305-3","L8CELL12",4.5,2019-05-22,"L8CELL12",-23.94378,"G","SW","Mid",209,0.014,93,17.8,236,NA,NA,9.1,2.63,327.3,23.1,-0.005,NA,8.2,NA,0.004,0.002,0.036,8.7,172,1513,140,27.4,1.54,8,NA,NA,"L8CELL12",0.032,0.002,0.728813559322034,0.036864406779661,0.394067796610169,0.593220338983051,0.0978813559322034,116.1,180.7,376,417.99999842905,22.31675,14.2462926821183,13.7504373089069,1.036
"P104305-4","L8CELL12",8.6,2019-05-22,"L8CELL12",-37.395224,"G","SW","Bottom",223,0.703,97.8,18.4,257,NA,NA,9.1,0.08,342.7,23.9,0.012,NA,7.6,NA,0.006,0.002,0.038,9,178.5,1558,146,25.4,2.16,5,NA,NA,"L8CELL12",0.032,0.004,0.694552529182879,0.0350194552529183,0.380544747081712,0.568093385214008,0.0929961089494163,121.7,187.5,403,445.999999602778,22.9805,14.8802417537807,14.7476309164147,1.009
"P104305-5","L8CELL3",0.5,2019-05-22,"L8CELL3",-10.82042,"G","SW","Top",204,0.012,92.3,18.4,244,NA,NA,9.7,8.5,326.1,23.2,-0.005,NA,8.6,NA,0.005,0.002,0.035,8.7,172.2,1490,145,28.9,1.48,10,NA,NA,"L8CELL3",0.03,0.003,0.705737704918033,0.035655737704918,0.37827868852459,0.594262295081967,0.0950819672131148,115.5,180.9,389,407.999996105747,21.9775,14.2281785515116,13.9802488537649,1.018
"P104305-6","L8CELL3",4.8,2019-05-22,"L8CELL3",-24.928032,"G","SW","Mid",205,0.013,93.5,17.9,234,NA,NA,9.7,1.52,329.9,23.4,-0.005,NA,8.1,NA,0.005,0.002,0.028,8.7,173.6,1515,141,27.4,1.49,9,NA,NA,"L8CELL3",0.023,0.003,0.741880341880342,0.0371794871794872,0.39957264957265,0.602564102564103,0.1,116.9,182.3,375,409.999998749888,22.34625,14.3654670512573,13.6348721273233,1.054
"P104305-7","L8CELL3",9.2,2019-05-22,"L8CELL3",-39.363728,"G","SW","Bottom",222,0.654,95.1,18.7,241,NA,NA,9.7,0.06,332.7,23.1,-0.005,NA,7.5,NA,0.006,0.002,0.036,8.7,170.9,1518,137,24.7,2.07,6,NA,NA,"L8CELL3",0.03,0.004,0.709128630705394,0.0360995850622407,0.394605809128631,0.568464730290456,0.095850622406639,118.2,179.6,378,443.999999684331,22.3905,14.3387128151041,14.0889161121458,1.018
"P104305-8","L8CELL4",0.5,2019-05-22,"L8CELL4",-10.82042,"G","SW","Top",204,0.014,95.9,18.5,267,NA,NA,9.1,8.98,339.6,24.3,-0.005,NA,8.6,NA,0.006,0.002,0.026,8.8,185.5,1561,156,29,1.49,9,NA,NA,"L8CELL4",0.02,0.004,0.694756554307116,0.0329588014981273,0.359176029962547,0.584269662921348,0.0910112359550562,120.2,194.3,423,407.999996105747,23.02475,15.0795229847213,14.858073509077,1.015
"P104305-9","L8CELL4",4.5,2019-05-22,"L8CELL4",-23.94378,"G","SW","Mid",211,0.009,98.4,18.2,247,NA,NA,9.1,2.55,348.4,24.9,-0.005,NA,8.1,NA,0.005,0.002,0.034,9,190.8,1634,143,27.5,1.52,9,NA,NA,"L8CELL4",0.029,0.003,0.77246963562753,0.0364372469635627,0.398380566801619,0.578947368421053,0.10080971659919,123.3,199.8,390,421.999998749888,24.1015,15.4890188415954,14.1631784690226,1.094
"P104360-10","L8FEB3M",-57.97,2019-04-17,NA,-57.97,"GP","GW",NA,346,4.95,155.8,15.4,160,NA,NA,NA,0.1,639.4,61.9,-0.005,NA,7.4,NA,0.015,0.011,0.024,8.8,111.8,1704,333,25.2,5.97,NA,NA,NA,"L8FEB3",0.009,0.004,0.69875,0.055,0.97375,2.08125,0.386875,217.7,120.6,493,691.999999749164,25.134,18.2296704368884,18.3637990312632,0.993
"P104360-11","L8FEB3U",-30.93,2019-04-17,NA,-30.93,"GP","GW",NA,370,1.926,214.7,14.4,55.6,NA,NA,NA,0.09,652.2,24.4,-0.005,NA,7,NA,0.018,0.014,0.026,4.8,51.1,1372,268,25.9,2.78,NA,NA,NA,"L8FEB3",0.008,0.004,0.919064748201439,0.0863309352517986,3.86151079136691,4.82014388489209,0.438848920863309,239.1,55.9,323.6,739.999999900056,20.237,15.1733102406133,14.5452933190777,1.043
"P104360-12","L8FEB4L",-90.39,2019-04-17,NA,-90.39,"GP","GW",NA,176,0.499,112.9,16.2,309,NA,NA,NA,0.05,361.2,19.2,-0.005,NA,7.5,NA,0.006,0.005,0.008,6.5,187.1,1664,169,25.3,1.33,NA,NA,NA,"L8FEB4",0.002,0.001,0.605501618122977,0.0210355987055016,0.36537216828479,0.546925566343042,0.0621359223300971,132.1,193.6,478,351.999999684331,24.544,15.5459071236054,15.7537288655971,0.987
"P104360-13","L8FEB4M",-43.89,2019-04-17,NA,-43.89,"GP","GW",NA,153,0.175,89.9,13.1,263,NA,NA,NA,0.04,291.6,16.3,-0.005,NA,7.6,NA,0.008,0.006,0.026,6.9,177.5,1482,161,25.8,0.853,NA,NA,NA,"L8FEB4",0.018,0.002,0.67490494296578,0.0262357414448669,0.341825095057034,0.612167300380228,0.0619771863117871,106.2,184.4,424,305.999999602778,21.8595,13.7342956612375,13.8297479702635,0.993
"P104360-14","L8FEB4U",-18.89,2019-04-17,NA,-18.89,"GP","GW",NA,282,0.236,181,16.5,187,NA,NA,NA,0,526.7,18.1,0.009,NA,6.9,NA,0.028,0.024,0.056,6.5,131.5,1612,251,25.5,1.03,NA,NA,NA,"L8FEB4",0.028,0.004,0.703208556149733,0.0347593582887701,0.967914438502674,1.34224598930481,0.0967914438502674,199.1,138,438,563.999999920602,23.777,16.4204854554988,16.1386806418374,1.017
"P104360-15","L8FEB5L",-90.24,2019-04-17,NA,-90.24,"GP","GW",NA,338,0.553,81.8,13.3,148,NA,NA,NA,0.06,279.1,18.2,-0.005,NA,7.3,NA,0.007,0.006,0.017,9,157.2,1276,71.7,25,1.2,NA,NA,NA,"L8FEB5",0.01,0.001,1.06216216216216,0.0608108108108108,0.552702702702703,0.484459459459459,0.122972972972973,100,166.2,219.7,675.999999800697,18.821,12.6780503418671,12.4250082877565,1.02
"P104360-16","L8FEB5M",-39.22,2019-04-17,NA,-39.22,"GP","GW",NA,255,1.212,113.8,17.3,48.2,NA,NA,NA,0,309.8,6.2,-0.005,NA,7.2,NA,0.008,0.006,0.01,5.1,36.7,747,37.9,25.6,2.13,NA,NA,NA,"L8FEB5",0.002,0.002,0.761410788381743,0.105809128630705,2.36099585062241,0.786307053941909,0.128630705394191,120,41.8,86.1,509.999999841651,11.01825,7.98275909123313,7.24671246272554,1.102
"P104360-17","L8FEB5U",-20.12,2019-04-17,NA,-20.12,"GP","GW",NA,193,0.459,79.9,13.8,62,NA,NA,NA,0,235.9,8.8,-0.005,NA,7.4,NA,0.009,0.005,0.016,5.2,33.7,636,18,24.4,1.14,NA,NA,NA,"L8FEB5",0.007,0.004,0.543548387096774,0.0838709677419355,1.28870967741935,0.290322580645161,0.141935483870968,88.7,38.9,80,385.999999749164,9.381,6.33536352812416,5.98216456081928,1.059
"P104360-18","PZ5A",10.74,2019-04-17,NA,10.74,"GP","GW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PZ5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P104360-19","PZ5B",-4.47,2019-04-17,NA,-4.47,"GP","GW",NA,161,0.426,75.9,13.4,125,NA,NA,NA,0.02,255.8,16.1,-0.005,NA,7.6,NA,0.018,0.014,0.02,5,64.6,856,58,25.8,1.15,NA,NA,NA,"PZ5",0.002,0.004,0.5168,0.04,0.6072,0.464,0.1288,92,69.6,183,321.999999602778,12.626,8.07351526659777,7.95238420056194,1.015
"P104360-20","PZ5C",-24.39,2019-04-17,NA,-24.39,"GP","GW",NA,138,0.461,41.6,11.8,48.6,NA,NA,NA,0.03,140.7,8.9,-0.005,NA,7.7,NA,0.005,0.004,0.051,4.3,43.3,496,20.7,27.7,1.09,NA,NA,NA,"PZ5",0.046,0.001,0.890946502057613,0.088477366255144,0.8559670781893,0.425925925925926,0.183127572016461,50.5,47.6,69.3,275.999999500215,7.316,4.82709694033475,4.56082207147305,1.058
"P104360-21","PZ5D",-44.29,2019-04-17,NA,-44.29,"GP","GW",NA,166,0.452,58,12.5,71.8,NA,NA,NA,0.07,193.3,11.8,-0.005,NA,8.3,NA,0.008,0.006,4.679,4.6,58.3,664,32.3,26.5,1.09,NA,NA,NA,"PZ5",4.671,0.002,0.811977715877437,0.064066852367688,0.807799442896936,0.449860724233983,0.164345403899721,69.8,62.9,104.1,331.999998026785,9.794,6.54370484506904,6.01655675767127,1.088
"P104360-3","L8FEB1L",-105.27,2019-04-17,NA,-105.27,"GP","GW",NA,237,0.362,62,7.6,89,NA,NA,NA,0.08,221.8,16.3,-0.005,NA,7.5,NA,0.009,0.006,0.026,9.5,86.5,856,44.6,25.7,0.708,NA,NA,NA,"L8FEB1",0.017,0.003,0.971910112359551,0.106741573033708,0.696629213483146,0.501123595505618,0.18314606741573,78.3,96,133.6,473.999999684331,12.626,8.46052779027259,8.17726933759236,1.035
"P104360-4","L8FEB1M",-43.89,2019-04-17,NA,-43.89,"GP","GW",NA,199,0.561,72,9.9,65.5,NA,NA,NA,0.03,207.4,6.7,-0.005,NA,7.6,NA,0.008,0.005,0.033,4.2,59.7,693,35.6,27.1,1.06,NA,NA,NA,"L8FEB1",0.025,0.003,0.911450381679389,0.0641221374045802,1.09923664122137,0.543511450381679,0.102290076335878,78.7,63.9,101.1,397.999999602778,10.22175,6.87943819510101,6.56728482963932,1.048
"P104360-5","L8FEB1U",-15.98,2019-04-17,NA,-15.98,"GP","GW",NA,302,0.148,127.5,6.5,23.2,NA,NA,NA,0.06,369,12.3,0.015,NA,7,NA,0.032,0.026,0.042,5.6,23.8,815,72.8,27.2,0.429,NA,NA,NA,"L8FEB1",0.01,0.006,1.02586206896552,0.241379310344828,5.49568965517241,3.13793103448276,0.530172413793104,139.8,29.4,96,603.999999900056,12.02125,8.56090939017031,8.20774718538342,1.043
"P104360-6","L8FEB2L",-100.26,2019-04-17,NA,-100.26,"GP","GW",NA,344,2.944,353.1,15.4,149,NA,NA,NA,0.09,1000.6,34.8,-0.005,NA,7,NA,0.017,0.015,0.018,6.4,127.3,2256,712,25.7,3.79,NA,NA,NA,"L8FEB2",0.000999999999999997,0.002,0.854362416107383,0.0429530201342282,2.36979865771812,4.77852348993289,0.233557046979866,387.9,133.7,861,687.999999900056,33.276,26.347095573662,25.9044203529297,1.017
"P104360-7","L8FEB2M",-48.63,2019-04-17,NA,-48.63,"GP","GW",NA,198,1.692,103.1,18.8,191,NA,NA,NA,0.07,301.2,10.6,-0.005,NA,7.4,NA,0.011,0.007,0.075,6.5,117.5,1187,84.9,26.2,2.7,NA,NA,NA,"L8FEB2",0.064,0.004,0.615183246073298,0.0340314136125654,0.53979057591623,0.444502617801047,0.0554973821989529,113.7,124,275.9,395.999999749164,17.50825,11.3879569795574,11.1139320948574,1.025
"P104360-8","L8FEB2U",-19.95,2019-04-17,NA,-19.95,"GP","GW",NA,268,0.973,114.5,17.4,134,NA,NA,NA,0.05,349.5,15.5,-0.005,NA,7.1,NA,0.022,0.018,0.062,6,91.6,1125,108,26.8,1.94,NA,NA,NA,"L8FEB2",0.04,0.004,0.683582089552239,0.0447761194029851,0.854477611940298,0.805970149253731,0.115671641791045,130,97.6,242,535.999999874196,16.59375,11.1806739538951,11.3864232768697,0.982
"P104360-9","L8FEB3L",-95.17,2019-04-17,NA,-95.17,"GP","GW",NA,610,0.731,191.8,18.6,2107,NA,NA,NA,0.14,892.4,102,-0.005,NA,7,NA,0.026,0.023,0.05,18.3,1588,8805,532,25.1,1.5,NA,NA,NA,"L8FEB3",0.024,0.003,0.753678215472235,0.00868533459895586,0.0910299003322259,0.252491694352159,0.0484100616990982,293.8,1606.3,2639,1219.99999990006,129.87375,87.547535531114,82.7073576337252,1.059
"P104361-10","L8FEB3M",-57.97,2019-07-23,NA,-57.97,"GP","GW",NA,368,5.032,173.8,15.6,144,NA,NA,NA,0.09,718,69,-0.005,NA,7.2,NA,0.014,0.012,0.023,9.2,122.7,1918,365,25.5,6.06,NA,NA,NA,"L8FEB3",0.009,0.002,0.852083333333333,0.0638888888888889,1.20694444444444,2.53472222222222,0.479166666666667,242.8,131.9,509,735.999999841651,28.2905,20.2009114818421,19.0185334465153,1.062
"P104361-11","L8FEB3U",-30.93,2019-07-23,NA,-30.93,"GP","GW",NA,414,1.955,216.5,13.5,56.4,NA,NA,NA,0.09,642.8,22.4,-0.005,NA,6.8,NA,0.016,0.014,0.021,4.8,50,1432,259,26,2.85,NA,NA,NA,"L8FEB3",0.005,0.002,0.886524822695036,0.0851063829787234,3.8386524822695,4.59219858156028,0.397163120567376,238.9,54.8,315.4,827.999999936927,21.122,15.052347915553,15.2601255698937,0.986
"P104361-12","L8FEB4L",-90.39,2019-07-23,NA,-90.39,"GP","GW",NA,184,0.453,113.4,15,316,NA,NA,NA,0.14,357.9,18.2,-0.005,NA,7.3,NA,0.006,0.003,0.013,6.4,192.5,1754,185,26.2,1.32,NA,NA,NA,"L8FEB4",0.007,0.003,0.609177215189873,0.020253164556962,0.358860759493671,0.585443037974684,0.0575949367088608,131.6,198.9,501,367.999999800696,25.8715,15.7183739274119,16.4442512342899,0.956
"P104361-13","L8FEB4M",-43.89,2019-07-23,NA,-43.89,"GP","GW",NA,159,0.192,89.6,11.5,234,NA,NA,NA,0.13,293,16.8,-0.005,NA,7.4,NA,0.007,0.005,0.027,6.9,174.1,1522,156,26.8,0.882,NA,NA,NA,"L8FEB4",0.02,0.002,0.744017094017094,0.0294871794871795,0.382905982905983,0.666666666666667,0.0717948717948718,106.4,181,390,317.999999749164,22.4495,13.6135065189641,13.0275447896762,1.045
"P104361-14","L8FEB4U",-18.89,2019-07-23,NA,-18.89,"GP","GW",NA,300,0.242,181.3,14.6,180,NA,NA,NA,0.11,530.6,18.9,0.019,NA,6.8,NA,0.026,0.02,0.072,6.8,138.7,1707,229,26.9,1.06,NA,NA,NA,"L8FEB4",0.046,0.006,0.770555555555555,0.0377777777777778,1.00722222222222,1.27222222222222,0.105,200.2,145.5,409,599.999999936927,25.17825,16.8224705650722,15.8430284325138,1.062
"P104361-15","L8FEB5L",-90.24,2019-07-23,NA,-90.24,"GP","GW",NA,354,0.556,84.2,12.3,133,NA,NA,NA,0.25,286,18.4,-0.005,NA,7.2,NA,0.007,0.004,0.016,8.9,147,1293,68.9,26.3,1.28,NA,NA,NA,"L8FEB5",0.009,0.003,1.10526315789474,0.0669172932330827,0.633082706766917,0.518045112781955,0.138345864661654,102.6,155.9,201.9,707.999999841651,19.07175,12.3681832559344,12.2634522705009,1.009
"P104361-16","L8FEB5M",-39.22,2019-07-23,NA,-39.22,"GP","GW",NA,262,1.202,110,15,52.9,NA,NA,NA,0.16,298.7,5.8,-0.005,NA,7.1,NA,0.008,0.005,0.01,4.7,33,772,31.9,26.9,2.14,NA,NA,NA,"L8FEB5",0.002,0.003,0.623818525519849,0.0888468809073724,2.07939508506616,0.603024574669187,0.109640831758034,115.8,37.7,84.8,523.999999874196,11.387,7.58849899141594,7.39431566146,1.026
"P104361-17","L8FEB5U",-20.12,2019-07-23,NA,-20.12,"GP","GW",NA,208,0.502,87,12.8,97.8,NA,NA,NA,0.14,255.4,9.2,-0.005,NA,7.2,NA,0.009,0.006,0.016,5.6,53.4,813,23.7,26.5,1.28,NA,NA,NA,"L8FEB5",0.007,0.003,0.54601226993865,0.0572597137014315,0.889570552147239,0.242331288343558,0.0940695296523517,96.2,59,121.5,415.999999841651,11.99175,7.59210869264468,7.41059349705663,1.024
"P104361-18","PZ5A",10.74,2019-07-23,NA,10.74,"GP","GW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PZ5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P104361-19","PZ5B",-4.47,2019-07-23,NA,-4.47,"GP","GW",NA,195,0.495,92.8,12.2,189,NA,NA,NA,0.14,308.6,18.7,-0.005,NA,7.3,NA,0.024,0.021,0.033,6.3,109.1,1230,87.7,26.5,1.24,NA,NA,NA,"PZ5",0.009,0.003,0.577248677248677,0.0333333333333333,0.491005291005291,0.464021164021164,0.0989417989417989,111.5,115.4,276.7,389.999999800696,18.1425,11.1035138930122,11.0558354936117,1.004
"P104361-20","PZ5C",-24.39,2019-07-23,NA,-24.39,"GP","GW",NA,171,0.669,69.8,12,98.8,NA,NA,NA,0.14,240,16,-0.005,NA,7.4,NA,0.005,0.002,0.035,5.8,59.8,803,52.4,26,1.41,NA,NA,NA,"PZ5",0.03,0.003,0.605263157894737,0.0587044534412955,0.706477732793522,0.530364372469636,0.161943319838057,85.8,65.6,151.2,341.999999749164,11.84425,7.58603264238004,7.29664132558015,1.04
"P104361-21","PZ5D",-44.29,2019-07-23,NA,-44.29,"GP","GW",NA,164,0.368,52.4,10.9,53,NA,NA,NA,0.14,173.1,10.3,-0.005,NA,8.3,NA,0.006,0.005,3.619,4.4,46.8,586,27.7,27.4,1.04,NA,NA,NA,"PZ5",3.613,0.001,0.883018867924528,0.0830188679245283,0.988679245283019,0.522641509433962,0.194339622641509,62.7,51.2,80.7,327.999998026785,8.6435,5.63084680975972,5.35047487579814,1.052
"P104361-3","L8FEB1L",-105.27,2019-07-23,NA,-105.27,"GP","GW",NA,254,0.359,63.5,7.4,89.9,NA,NA,NA,0.13,226.5,16.5,-0.005,NA,7.4,NA,0.008,0.006,0.044,9.6,86.2,909,44.2,26.6,0.741,NA,NA,NA,"L8FEB1",0.036,0.002,0.958843159065628,0.10678531701891,0.706340378197998,0.491657397107898,0.183537263626251,80,95.8,134.1,507.999999749164,13.40775,8.54117374276471,8.5341931339572,1.001
"P104361-4","L8FEB1M",-43.89,2019-07-23,NA,-43.89,"GP","GW",NA,232,0.366,86.9,10,70.8,NA,NA,NA,0.19,249.9,8,-0.005,NA,7.3,NA,0.008,0.006,0.014,3.6,56.1,795,40.3,27.3,0.888,NA,NA,NA,"L8FEB1",0.006,0.002,0.792372881355932,0.0508474576271186,1.2274011299435,0.569209039548023,0.112994350282486,94.9,59.7,111.1,463.999999800696,11.72625,7.54715122723844,7.47438278913946,1.01
"P104361-5","L8FEB1U",-15.98,2019-07-23,NA,-15.98,"GP","GW",NA,300,0.131,125.1,7.6,35,NA,NA,NA,0.15,360.5,11.6,0.02,NA,6.9,NA,0.031,0.022,0.036,5.7,22.4,851,66.4,28.8,0.46,NA,NA,NA,"L8FEB1",0.005,0.009,0.64,0.162857142857143,3.57428571428571,1.89714285714286,0.331428571428571,136.7,28.1,101.4,599.999999920602,12.55225,8.32427589328089,8.36737631452333,0.995
"P104361-6","L8FEB2L",-100.26,2019-07-23,NA,-100.26,"GP","GW",NA,365,2.685,352.9,15.4,124,NA,NA,NA,0.15,1049.7,35.3,-0.005,NA,6.9,NA,0.017,0.014,0.018,6.3,112.1,2311,724,26.1,3.54,NA,NA,NA,"L8FEB2",0.000999999999999997,0.003,0.904032258064516,0.0508064516129032,2.84596774193548,5.83870967741935,0.284677419354839,388.2,118.4,848,729.999999920602,34.08725,25.7001497593674,25.8688776499266,0.993
"P104361-7","L8FEB2M",-48.63,2019-07-23,NA,-48.63,"GP","GW",NA,244,1.324,96.3,20.4,161,NA,NA,NA,0.16,282.7,10.2,-0.005,NA,7.3,NA,0.012,0.009,0.015,6.3,125.4,1216,81.6,27,2.42,NA,NA,NA,"L8FEB2",0.003,0.003,0.77888198757764,0.0391304347826087,0.598136645962733,0.506832298136646,0.0633540372670807,106.5,131.7,242.6,487.999999800696,17.936,11.3338546323234,11.118594842584,1.019
"P104361-8","L8FEB2U",-19.95,2019-07-23,NA,-19.95,"GP","GW",NA,272,0.922,105.2,17,93.8,NA,NA,NA,0.11,320.2,14,-0.005,NA,7,NA,0.02,0.017,0.037,5.8,77.4,1039,86.6,27.5,1.9,NA,NA,NA,"L8FEB2",0.017,0.003,0.825159914712154,0.0618336886993603,1.12153518123667,0.923240938166311,0.149253731343284,119.2,83.2,180.4,543.999999900056,15.32525,9.96756707488249,9.88684489074309,1.008
"P104361-9","L8FEB3L",-95.17,2019-07-23,NA,-95.17,"GP","GW",NA,654,0.73,189.3,19.5,2104,NA,NA,NA,0.07,877.7,98.3,-0.005,NA,6.8,NA,0.024,0.022,0.026,17,1538,9232,512,25.6,1.58,NA,NA,NA,"L8FEB3",0.002,0.002,0.730988593155893,0.00807984790874525,0.0899714828897338,0.243346007604563,0.0467205323193916,287.6,1555,2616,1307.99999993693,136.172,84.9101267954477,83.0859731276775,1.022
"P107197-10","L8CELL4",6.3,2019-06-20,"L8CELL4",-36.869292,"G","SW","Bottom",238,0.834,98.3,18.5,330,NA,NA,6.8,0.15,352.1,25.9,0.016,NA,7.2,NA,0.026,0.018,0.076,9.4,219.2,2454,163,26.6,2.36,5,NA,NA,"L8CELL4",0.05,0.008,0.664242424242424,0.0284848484848485,0.297878787878788,0.493939393939394,0.0784848484848485,124.2,228.6,493,475.999999841651,36.1965,16.8576373531151,17.4606947790483,0.965
"P107197-11","L8CELL5",0.5,2019-06-20,"L8CELL5",-17.84042,"G","SW","Top",216,0.027,96.9,17.8,271,NA,NA,7,6.97,339.1,23.6,-0.005,NA,8.3,NA,0.006,0.002,0.043,8.7,186.6,1598,157,28.4,1.47,6,NA,NA,"L8CELL5",0.037,0.004,0.688560885608856,0.0321033210332103,0.357564575645756,0.579335793357934,0.0870848708487085,120.5,195.3,428,431.999998026785,23.5705,15.1178458022485,15.231632846938,0.993
"P107197-12","L8CELL5",3.25,2019-06-20,"L8CELL5",-26.86273,"G","SW","Mid",216,0.027,96.8,18,272,NA,NA,7,6.16,339.1,23.6,-0.005,NA,8.3,NA,0.005,0.002,0.036,8.8,185.5,1594,159,28.1,1.43,5,NA,NA,"L8CELL5",0.031,0.003,0.681985294117647,0.0323529411764706,0.355882352941176,0.584558823529412,0.086764705882353,120.4,194.3,431,431.999998026785,23.5115,15.0675643557983,15.3014822329148,0.985
"P107197-13","L8CELL5",6.5,2019-06-20,"L8CELL5",-37.52546,"G","SW","Bottom",242,1.231,99.4,18.8,309,NA,NA,7,0.19,351,25,-0.005,NA,7.3,NA,0.025,0.016,0.076,9.1,212.2,1905,151,26.9,2.65,5,NA,NA,"L8CELL5",0.051,0.009,0.68673139158576,0.0294498381877023,0.32168284789644,0.488673139158576,0.0809061488673139,124.4,221.3,460,483.999999800696,28.09875,16.548325753392,16.6984353053198,0.991
